"
Name
","
Type (Property or Header)
","
Related Component
","
Description
"
"SAP_XadesSigningTimeZone","Property","XML Signer","If this exchange property is set, the XML Signer step transforms
the value of the XAdES SigningTime element into
the time zone specified by the property value.
The property shall contain a value of the format
GMT+HH:mm or GMT-HH:mm,
where HH are the hours and mm are the minutes after or before
Greenwich Mean Time (GMT). The GMT zone is used if the given
string property value can't be interpreted. If the property
contains a non-string value, an exception is thrown. If the
property is not set, the time zone GMT is used.
For example, if you set the property value to
GMT+3:00, the time zone 3 hours ahead
Greenwich Mean Time is used."
"SAP_XmlValidationResult","Header","XML Validator","Adds the error payload."
"SAP.DisableAttachments.HTTP","Header","HTTP Adapter","Enables the creation of attachments for request header, response
headers, and response body when the message processing
fails."
"SAP.DisableAttachments.ODataV2","Header","OData V2 Receiver Adapter","Enables the creation of attachments for request header, response
headers, and response body when the message processing
fails."
"SAP.DisableAttachments.ODataV4","Header","OData V4 Receiver Adapter","Enables the creation of attachments for request header, response
headers, and response body when the message processing
fails."
"SapDataStoreId","Header","Data Store","Entry ID used/set by the Data Store component."
"SapDataStoreMaxResults","Header","Data Store","Used dynamically overwrite the configured number of polled
messages in case of Data Store SELECT
operation."
"SapInterfaceName","Header","XI adapter","XI protocol header"
"SapInterfaceNamespace","Header","XI adapter","XI protocol header"
"SAPJMSAlerttime","Header","JMS Consumer","Specifies the time when an alert needs to be sent.Note
This header
is only set for non-exclusive queues."
"SAPJMSRetries","Header","JMS Consumer","Number of retries of a JMS message.
The JMS sender adapter sets this header.Note
This is only the case
if the Non-Exclusive access type is
selected.
You can use this header to specify that the behavior of the
integration flow changes depending on the number of retries that
are actually performed. For example, you can configure a
scenario where a mail is sent to an administrator with the
message as an attachment and the integration flow is terminated
successfully after a specified number of retries. 
You can use this header in case you configure the XI adapter with
JMS Queue as temporary storage."
"SAPJMSRetryAt","Header","JMS Consumer","This header is set for queues with non-exclusive access type."
"SapMessageId","Header","SOAP (SAP RM) Sender adapter
XI adapter
IDoc Receiver adapter","SAPRM, IDoc, and XI protocol header for the message
identifier"
"SapMessageIdEx","Header","SOAP (SAP RM) Sender adapter
XI adapter","SAPRM and XI protocol header for the message identifier."
"SapPlainSoapQoS","Header","SOAP (SAP RM) adapter","Header for SoD scenario. Is generated in SAP-RM adapter."
"SapReceiverParty","Header","XI adapter","XI protocol header"
"SapReceiverService","Header","XI adapter","XI protocol header"
"SapRefToMessageId","Header","XI adapter","XI protocol header"
"SapRefToMessageIdEx","Header","XI adapter","XI protocol header"
"SapSenderParty","Header","XI adapter","XI protocol header"
"SapSenderService","Header","XI adapter","XI protocol header"
"Sender","Header","Mail adapter","Specifies the actual sender (acting on behalf of the e-mail
address stated in the From header)."
"SOAPAction","Header","SOAP adapter","This header is part of the Web service specification."
"Subject","Header","Mail adapter","Specifies the subject of the e-mail message."
"To","Header","Mail adapter","Specifies the e-mail address that the message is sent to."
"CamelLoopIndex","Property","Looping Process Call","Provides the index of the currently processed loop (starting with
0)."
